id_ibge,location,year,wage,num_emp,num_jobs,num_est,wage_avg,age_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_jobs_est,cnae_display,bra_rca,wld_rca
3106200,"Belo Horizonte",2014,942304.57,187,187,13,5039.06,38,0.041,-0.048,-0.416,-0.094,"4mg030000","a02101",0.324,0.815,-0.212,"a","a02","a02101",328,28.02,15,"02101",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","a02209",,0.811,-0.245,"a","a02","a02209",210,32.859,0,"02209",false,false
3106200,"Belo Horizonte",2014,1018640.78,340,340,13,2996,39.785,1.972,0.026,0.453,0.08,"4mg030000","a02306",0.504,0.817,-0.208,"a","a02","a02306",266,20.362,27,"02306",false,false
3106200,"Belo Horizonte",2014,1712.5,2,2,1,856.25,22,0.16,-0.111,0,-0.078,"4mg030000","a03116",0.005,0.762,0.009,"a","a03","a03116",174,13.857,2,"03116",false,false
3106200,"Belo Horizonte",2014,2534.4,2,2,1,1267.2,43.5,,,,,"4mg030000","a03124",0.131,0.811,-0.045,"a","a03","a03124",79,31.677,2,"03124",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","a03213",,0.81,-0.152,"a","a03","a03213",182,31.816,0,"03213",false,false
3106200,"Belo Horizonte",2014,4388.85,5,5,2,877.77,30.2,-0.139,-0.171,-0.444,-0.111,"4mg030000","a03221",0.016,0.809,-0.185,"a","a03","a03221",215,34.548,3,"03221",false,false
3106200,"Belo Horizonte",2014,1566.33,1,1,1,1566.33,58,,0.024,,0,"4mg030000","b05003",0.003,0.801,-0.037,"b","b05","b05003",173,29.288,1,"05003",false,false
3106200,"Belo Horizonte",2014,558239.83,49,49,4,11392.65,41.02,3.611,0.001,0.14,-0.012,"4mg030000","b06000",0.033,0.744,-0.042,"b","b06","b06000",193,30.286,13,"06000",false,false
3106200,"Belo Horizonte",2014,24289690.86,2142,2150,28,11297.53,38.674,1.102,0.029,0.279,-0.007,"4mg030000","b07103",2.719,0.643,0.105,"b","b07","b07103",242,40.883,77,"07103",true,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","b07219",,0.823,-0.167,"b","b07","b07219",146,38.375,0,"07219",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","b07227",,0.782,-0.193,"b","b07","b07227",88,37.222,0,"07227",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","b07235",,0.757,0.011,"b","b07","b07235",59,25.28,0,"07235",false,false
3106200,"Belo Horizonte",2014,1186851.3,145,145,7,8185.18,37.607,0.205,-0.005,-0.071,-0.019,"4mg030000","b07243",0.768,0.764,-0.005,"b","b07","b07243",228,47.233,21,"07243",false,false
3106200,"Belo Horizonte",2014,,,,,,,,,,,"4mg030000","b07251",,0.861,-0.029,"b","b07","b07251",4,2.594,0,"07251",false,false
3106200,"Belo Horizonte",2014,217221.16,22,22,2,9873.69,39.727,-0.043,0.057,-0.614,0.009,"4mg030000","b07294",0.135,0.802,-0.089,"b","b07","b07294",208,50.542,11,"07294",false,false
3106200,"Belo Horizonte",2014,246885.46,123,123,15,2007.2,42.049,3.889,-0.019,3.92,-0.017,"4mg030000","b08100",0.055,0.808,-0.102,"b","b08","b08100",395,49.495,9,"08100",false,false
